description,file_hash,file_name,weight
ransomware extension download from fsrm.experiant.ca,,*.Mafer,
ransomware extension download from fsrm.experiant.ca,,*.LATCHNETWORK3,
ransomware extension download from fsrm.experiant.ca,,*.tcvp,
ransomware extension download from fsrm.experiant.ca,,*.onelock,
ransomware extension download from fsrm.experiant.ca,,*.inlock,
ransomware extension download from fsrm.experiant.ca,,*.SEX3,
ransomware extension download from fsrm.experiant.ca,,*.yguekcbe,
ransomware extension download from fsrm.experiant.ca,,*.ZeRy,
ransomware extension download from fsrm.experiant.ca,,*.fate,
ransomware extension download from fsrm.experiant.ca,,*.fatp,
ransomware extension download from fsrm.experiant.ca,,*.[Chily@Dr.Com],
ransomware extension download from fsrm.experiant.ca,,*.crow,
ransomware extension download from fsrm.experiant.ca,,*.terror_ramp3,
ransomware extension download from fsrm.experiant.ca,,*.sbkyedekal,
ransomware extension download from fsrm.experiant.ca,,*.CrySpheRe,
ransomware extension download from fsrm.experiant.ca,,*.bDAT,
ransomware extension download from fsrm.experiant.ca,,*.zate,
ransomware extension download from fsrm.experiant.ca,,*.zatp,
ransomware extension download from fsrm.experiant.ca,,*.bowd,
ransomware extension download from fsrm.experiant.ca,,*.bozq,
ransomware extension download from fsrm.experiant.ca,,*.azov,
ransomware extension download from fsrm.experiant.ca,,*.pozq,
ransomware extension download from fsrm.experiant.ca,,*.powd,
ransomware extension download from fsrm.experiant.ca,,*.vn2.1.[victims_ID],
ransomware extension download from fsrm.experiant.ca,,*.INT,
ransomware extension download from fsrm.experiant.ca,,*.LockFiles,
ransomware extension download from fsrm.experiant.ca,,*.bbd2.[victims_ID],
ransomware extension download from fsrm.experiant.ca,,*.f**kcrypt,
ransomware extension download from fsrm.experiant.ca,,*.killnet,
ransomware extension download from fsrm.experiant.ca,,*.nuis,
ransomware extension download from fsrm.experiant.ca,,*.nury,
ransomware extension download from fsrm.experiant.ca,,*.lumino_locked,
ransomware extension download from fsrm.experiant.ca,,*.eu,
ransomware extension download from fsrm.experiant.ca,,*.rsjon,
ransomware extension download from fsrm.experiant.ca,,*.ash,
ransomware extension download from fsrm.experiant.ca,,*.r7,
ransomware extension download from fsrm.experiant.ca,,*.tuis,
ransomware extension download from fsrm.experiant.ca,,*.cyber,
ransomware extension download from fsrm.experiant.ca,,*.ESCANOR,
ransomware extension download from fsrm.experiant.ca,,*.tius,
ransomware extension download from fsrm.experiant.ca,,*.tury,
ransomware extension download from fsrm.experiant.ca,,*.trg,
ransomware extension download from fsrm.experiant.ca,,*.bulwark7,
ransomware extension download from fsrm.experiant.ca,,*.powz,
ransomware extension download from fsrm.experiant.ca,,*.pohj,
ransomware extension download from fsrm.experiant.ca,,*.dkey,
ransomware extension download from fsrm.experiant.ca,,*.tohj,
ransomware extension download from fsrm.experiant.ca,,*.towz,
ransomware extension download from fsrm.experiant.ca,,*.brutusCrypt,
ransomware extension download from fsrm.experiant.ca,,*.bmcrypt,
ransomware extension download from fsrm.experiant.ca,,*.p.redkrypt,
ransomware extension download from fsrm.experiant.ca,,*.adww,
ransomware extension download from fsrm.experiant.ca,,*.adlg,
ransomware extension download from fsrm.experiant.ca,,*._d0nut,
ransomware extension download from fsrm.experiant.ca,,*.d0nut,
ransomware extension download from fsrm.experiant.ca,,*.databankasi,
ransomware extension download from fsrm.experiant.ca,,*.royal,
ransomware extension download from fsrm.experiant.ca,,*.T_TEN,
ransomware extension download from fsrm.experiant.ca,,*.iq20,
ransomware extension download from fsrm.experiant.ca,,*.wizard,
ransomware extension download from fsrm.experiant.ca,,*.unique,
ransomware extension download from fsrm.experiant.ca,,*.MMXXII,
ransomware extension download from fsrm.experiant.ca,,*.okhacked,
ransomware extension download from fsrm.experiant.ca,,*.netlock,
ransomware extension download from fsrm.experiant.ca,,*.awwt,
ransomware extension download from fsrm.experiant.ca,,*.Wanqu,
ransomware extension download from fsrm.experiant.ca,,*.oflg,
ransomware extension download from fsrm.experiant.ca,,*.ofww,
ransomware extension download from fsrm.experiant.ca,,*.ofoq,
ransomware extension download from fsrm.experiant.ca,,*.ORCA.victims_ID,
ransomware extension download from fsrm.experiant.ca,,*.Cyber_Puffin,
ransomware extension download from fsrm.experiant.ca,,*.BlackBit,
ransomware extension download from fsrm.experiant.ca,,*.62IX,
ransomware extension download from fsrm.experiant.ca,,*.polis,
ransomware extension download from fsrm.experiant.ca,,*.exploit6,
ransomware extension download from fsrm.experiant.ca,,*.minex,
ransomware extension download from fsrm.experiant.ca,,*.LOCKEDFILECR,
ransomware extension download from fsrm.experiant.ca,,*.aayu,
ransomware extension download from fsrm.experiant.ca,,*.Joker,
ransomware extension download from fsrm.experiant.ca,,*.duck,
ransomware extension download from fsrm.experiant.ca,,*.aabn,
ransomware extension download from fsrm.experiant.ca,,*.aawt,
ransomware extension download from fsrm.experiant.ca,,*.aamv,
ransomware extension download from fsrm.experiant.ca,,*.MLF,
ransomware extension download from fsrm.experiant.ca,,*.doyuk,
ransomware extension download from fsrm.experiant.ca,,*.ballacks,
ransomware extension download from fsrm.experiant.ca,,*.mmdt,
ransomware extension download from fsrm.experiant.ca,,*.bl00dy,
ransomware extension download from fsrm.experiant.ca,,*.mmvb,
ransomware extension download from fsrm.experiant.ca,,*.mmpu,
ransomware extension download from fsrm.experiant.ca,,*.play,
